,year,county,population,median_income,perc_unemployed,perc_poverty,perc_white,normalized_deaths,deaths,cumulative_deaths,normalized_cumulative_deaths
474,6,35,28074,53645,5.833333333333335,10.200000000000001,94.83151670584881,1.187338225166821e-05,4,18,0.0006362487786862422
475,6,36,43266,41611,6.308333333333333,19.300000000000004,96.269588129247,2.503890660873049e-05,13,67,0.001548337468618864
476,6,37,29111,42374,5.625,17.5,97.29998969461714,1.145042538330299e-05,4,38,0.0013006323874400082
477,6,38,43176,50069,3.5416666666666665,12.400000000000004,98.52927552343895,0.0,0,5,0.00011788712459261082
478,6,39,59186,47824,6.3,13.400000000000004,93.98844321292198,2.534383131145879e-05,18,69,0.0011585114035103528
479,6,40,32952,41161,6.591666666666668,20.0,96.90762320951687,2.7818240673302587e-05,11,57,0.0017212269400983008
480,6,41,68510,40148,7.358333333333335,20.0,91.73405342285797,3.040918600690896e-05,25,123,0.0017790749569144165
481,6,42,61063,46908,4.824999999999999,15.099999999999996,96.59695724088236,1.091768610560678e-05,8,66,0.0010931046668936886
482,6,43,229602,58697,5.625,8.900000000000002,92.68995914669733,2.141386689430696e-05,59,286,0.0012426310984556778
483,6,44,62100,41608,6.291666666666668,17.5,95.47826086956523,1.8786902844873857e-05,14,71,0.0011371529954087695
484,6,45,167911,57308,4.916666666666667,13.5,93.021898505756,1.4888839921148703e-05,30,141,0.0008577211239436337
485,6,46,45564,50753,5.075,17.0,95.23088403125276,1.6460363444824863e-05,9,51,0.001111749040596941
486,6,47,302465,52331,6.675000000000001,14.699999999999998,85.27895789595492,2.3418687561646257e-05,85,364,0.0012072072181874948
487,6,48,438167,42344,7.025000000000001,20.699999999999996,73.31245849185358,2.8337749457779036e-05,149,655,0.0014745829263332854
488,6,49,43326,52996,4.508333333333333,12.599999999999996,90.65457231223745,1.3463816953638307e-05,7,46,0.0010711600858650298
489,6,50,235809,41316,6.516666666666667,18.900000000000002,80.40956876115841,2.1203601219631145e-05,60,311,0.001301855038885998
490,6,51,66171,42240,5.566666666666667,21.300000000000004,90.27368484683622,3.5262174265665214e-05,28,99,0.001493322587750374
491,6,52,174091,68405,5.158333333333334,7.0,95.81827894606842,1.3402952095934505e-05,28,148,0.0008611703311137281
492,6,53,23564,38081,7.750000000000001,22.599999999999998,97.5343744695298,1.4145872234481977e-05,4,28,0.001185457624698885
493,6,54,40789,52606,3.758333333333333,8.900000000000002,97.52874549510896,1.0215172391249275e-05,5,24,0.0005876439881071087
494,6,55,103145,51868,5.025,10.599999999999998,94.50191478016383,1.777433063486677e-05,22,110,0.0010742046952043475
495,6,56,14590,40646,7.825,15.699999999999998,98.06031528444142,2.8558373315055972e-05,5,11,0.000754489891461589
496,6,57,534801,42994,5.95,19.699999999999996,73.77061748201666,4.316247227161755e-05,277,1111,0.0020706934099505945
497,6,58,14977,37923,7.050000000000001,18.099999999999998,93.25632636709621,2.225634862344484e-05,4,15,0.0010001030110744808
498,6,59,34991,49846,5.333333333333333,12.099999999999996,97.61081420936812,1.905251826660189e-05,8,49,0.0014062342181104363
499,6,60,85947,41814,5.991666666666667,19.099999999999998,92.69433488079862,6.787128501673512e-06,7,58,0.0006758548713466078
500,6,61,14561,43953,7.55,16.300000000000004,92.11592610397635,5.723050156811575e-06,1,5,0.0003438468299366956
501,6,62,41304,50345,6.458333333333333,10.099999999999998,95.74375363160952,8.0702433985409e-06,4,31,0.0007493536272362609
502,6,63,19293,47358,5.383333333333333,12.299999999999999,95.36101176592547,1.2958067692945628e-05,3,16,0.0008205296389237897
503,6,64,36000,43341,6.391666666666667,17.800000000000004,97.7638888888889,9.259259259259259e-06,4,23,0.0006407263603066367
504,6,65,56279,54868,5.091666666666667,13.199999999999998,94.06172817569609,1.4807180890444627e-05,10,65,0.0011726139398882712
505,6,66,28504,40512,7.449999999999999,21.900000000000002,96.35840583777714,1.4617831415473852e-05,5,44,0.0015454091973465282
506,6,67,161553,52047,5.291666666666667,14.199999999999998,91.75007582650893,1.9085583884751957e-05,37,124,0.0007720334033612594
507,6,68,41887,49516,5.199999999999999,13.0,97.46460715735192,2.1884275948782836e-05,11,51,0.0012115483553609492
508,6,69,34256,56519,4.241666666666667,7.799999999999998,95.86349836524987,1.459598318542737e-05,6,18,0.0005228230874481903
509,6,70,122813,41948,6.2250000000000005,15.900000000000004,87.1528258409126,2.1713227969894613e-05,32,118,0.0009492775526115882
510,6,71,77552,42466,6.050000000000001,19.199999999999996,90.38064782339588,3.546007839900969e-05,33,146,0.0018897762915433942
511,6,72,60498,46447,6.066666666666667,14.5,90.68894839498829,2.203929606488369e-05,16,55,0.000903903258365638
512,6,73,78520,37625,7.541666666666667,27.199999999999992,94.42944472745796,3.290032263542197e-05,31,165,0.0021016429506528762
513,6,74,56100,45003,5.650000000000001,17.5,94.15686274509802,2.228163992869875e-05,15,55,0.0009733881770203003
514,6,75,49165,50774,4.958333333333334,10.700000000000001,94.73812671615987,1.0169836265636123e-05,6,45,0.000914966985945467
515,6,76,375090,47745,5.766666666666667,14.900000000000004,88.78855741288758,2.466074808712576e-05,111,575,0.001528407048653959
516,6,77,541464,50453,5.541666666666667,13.400000000000004,80.21512048815804,2.1392619515486408e-05,139,562,0.0010364885132536793
517,6,78,207596,43160,6.833333333333333,17.199999999999996,88.88851422956124,2.6493766739243536e-05,66,319,0.0015152493936486894
518,6,79,92616,46128,5.341666666666668,13.400000000000004,96.97676427399153,8.997725375025193e-06,10,70,0.0007572805114321435
519,6,80,53090,69900,3.908333333333333,7.700000000000002,92.67847052175553,1.2557292647705155e-05,8,38,0.0007445940380677165
520,6,81,28612,49565,4.758333333333334,10.099999999999998,96.66922969383474,1.456265436413626e-05,5,22,0.0007643841565721373
521,6,82,13319,37633,6.5,23.699999999999992,97.26706209174863,2.5026903921715843e-05,4,19,0.0014218194159230626
522,6,83,217623,72973,4.608333333333333,5.799999999999998,90.10123010894985,1.684870931228164e-05,44,216,0.0010224774168958966
523,6,84,61473,45048,6.199999999999999,15.699999999999998,96.33985652237568,2.0334130431246237e-05,15,57,0.0009241827865602709
524,6,85,114978,50106,4.541666666666666,13.900000000000004,95.5739358833864,1.0146868676326484e-05,14,56,0.000488734834066032
525,6,86,37493,42214,5.566666666666666,14.199999999999998,95.56450537433652,8.89054845793437e-06,4,34,0.0008970449012660137
526,6,87,128139,54996,5.25,13.5,92.21392394196927,1.300670886043021e-05,20,91,0.000720514617323349
527,6,88,22535,47905,5.141666666666667,10.0,97.2354115819836,0.0,0,14,0.0006196487665969129
528,7,1,28229,36609,8.858333333333333,21.300000000000004,97.42817669772218,3.8376610341610876e-05,13,69,0.0024321573413301893
529,7,2,105196,49297,6.824999999999999,15.5,83.54500171109167,1.980430181122222e-05,25,109,0.0010304885708489935
530,7,3,53189,48338,6.458333333333333,14.099999999999996,96.93733666735604,1.0967179930687422e-05,7,43,0.0008051066821696865
531,7,4,99777,44258,7.791666666666668,18.599999999999998,93.25596079256742,1.8374308040263118e-05,22,157,0.0015550904390603019
532,7,5,64974,38400,7.5,31.5,91.04257087450365,1.4108207385518312e-05,11,75,0.0011635682407859374
533,7,6,45873,58840,5.808333333333333,8.700000000000001,97.3928018660214,2.5432534751742127e-05,14,51,0.0011093556212571078
534,7,7,69560,45675,7.375000000000001,14.599999999999996,93.48907418056355,2.276212382595361e-05,19,72,0.0010324498373888691
535,7,8,44247,47202,7.516666666666667,14.900000000000004,97.23597080028024,5.2734272003375004e-05,28,134,0.0030161486571179414
536,7,9,372538,58954,6.433333333333334,14.400000000000004,86.03229737637503,4.496185624016877e-05,201,843,0.0022894239080046607
537,7,10,28361,52166,7.766666666666668,13.0,97.16864708578682,1.7629843799583936e-05,6,31,0.0010801471302814881
538,7,11,39393,58837,6.491666666666667,10.799999999999999,94.44317518340823,2.1154350603745164e-05,10,65,0.0016322709245132204
539,7,12,136827,47651,6.800000000000001,15.099999999999996,86.24101968178796,5.5422784489416074e-05,91,331,0.0023984376484283087
